date, pm25
2023/9/15, 73
2023/9/16, 51
2023/9/17, 31
2023/9/18, 45
2023/9/19, 87
2023/9/20, 52
2023/9/21, 54
2023/9/22, 49
2023/9/23, 50
2023/9/24, 33
2023/9/25, 42
2023/9/26, 53
2023/9/27, 54
2023/9/28, 57
2023/9/29, 55
2023/9/30, 52
2023/4/1, 116
2023/4/2, 107
2023/4/3, 107
2023/4/4, 94
2023/4/5, 89
2023/4/6, 77
2023/4/7, 79
2023/4/8, 76
2023/4/9, 70
2023/4/10, 71
2023/4/12, 85
2023/4/13, 77
2023/4/14, 71
2023/4/15, 62
2023/4/16, 65
2023/4/17, 63
2023/4/18, 59
2023/4/19, 52
2023/4/20, 62
2023/4/21, 55
2023/4/22, 56
2023/4/23, 58
2023/4/24, 53
2023/4/25, 51
2023/4/26, 54
2023/4/27, 53
2023/4/28, 51
2023/4/29, 52
2023/4/30, 54
2023/5/1, 48
2023/5/2, 49
2023/5/3, 46
2023/5/4, 45
2023/5/5, 45
2023/5/6, 45
2023/5/7, 41
2023/5/8, 44
2023/5/9, 41
2023/5/10, 38
2023/5/11, 37
2023/5/12, 37
2023/5/13, 34
2023/5/14, 34
2023/5/15, 30
2023/5/16, 29
2023/5/17, 26
2023/5/18, 30
2023/5/19, 25
2023/5/20, 24
2023/5/21, 23
2023/5/22, 26
2023/5/23, 23
2023/5/24, 24
2023/5/25, 20
2023/5/26, 16
2023/5/27, 16
2023/5/28, 19
2023/5/29, 15
2023/5/30, 15
2023/5/31, 16
2023/6/1, 17
2023/6/2, 24
2023/6/3, 24
2023/6/4, 23
2023/6/5, 21
2023/6/6, 21
2023/6/7, 23
2023/6/8, 26
2023/6/9, 22
2023/6/10, 18
2023/6/11, 18
2023/6/12, 21
2023/6/13, 17
2023/6/14, 21
2023/6/15, 18
2023/6/16, 17
2023/6/17, 17
2023/6/18, 19
2023/6/19, 17
2023/6/20, 18
2023/6/21, 19
2023/6/22, 18
2023/6/23, 13
2023/6/24, 13
2023/6/25, 15
2023/6/26, 10
2023/6/27, 14
2023/6/28, 14
2023/1/2, 217
2023/1/3, 288
2023/1/4, 186
2023/1/5, 227
2023/1/6, 240
2023/1/7, 178
2023/1/8, 143
2023/1/9, 108
2023/1/10, 119
2023/1/11, 255
2023/1/12, 228
2023/1/13, 175
2023/1/14, 148
2023/1/15, 158
2023/1/16, 150
2023/1/17, 150
2023/1/18, 197
2023/1/19, 222
